260601,2025 biorxiv PlantCAD2: a DNA foundation model for interpreting genomes across flowering plants
260531,2026 Nature Genome modelling and design across all domains of life with Evo2
260530,2025 GigaScience Genos a human-centric genomic foundation model
260529,2026 Genome bilogy Fine-tuning sequence-to-expression models on personal genome and transcriptome data
260529,2025 Nat.Methods scooby modeling multimodal genomic profiles from DNA sequence at single-cell resolution
260528,2026 biorxiv OryzaG3 A Single-species Genomic Foundation Model Pretrained on Rice Pangenome
260527,2026 Advanced Science PlantGFM A Genomic Foundation Model for Discovery and Creation of Plant Genes
260526,2026 Nature Adaptive cellular evolution in the intestine of hyperdiverse cichlid fishes
260526,2022 Molecular plant MINI-EX Integrative inference of single-cell gene regulatory networks in plants
